Round,"(0, 1)","(0, 2)","(0, 3)","(0, 4)","(0, 5)","(0, 6)","(0, 7)","(0, 8)","(0, 9)","(0, 10)",
10,1.0,0.8969,0.7923,0.693,0.5945,0.4914,0.3892,0.2893,0.186,0.0865,
10,1.0,0.8967,0.7959,0.6967,0.6032,0.5046,0.4001,0.2988,0.1975,0.0983,
10,1.0,0.9048,0.8013,0.7033,0.6008,0.5015,0.4036,0.3011,0.2003,0.104,
10,1.0,0.8951,0.7945,0.6947,0.5944,0.4987,0.397,0.2954,0.1939,0.0956,
10,1.0,0.9014,0.8051,0.7078,0.612,0.5086,0.408,0.31,0.2113,0.1115,
10,1.0,0.9044,0.8013,0.702,0.6019,0.5014,0.4015,0.3006,0.1964,0.0941,
10,1.0,0.903,0.8099,0.7081,0.6133,0.5169,0.4168,0.3105,0.2079,0.1119,
10,1.0,0.901,0.7995,0.6977,0.5935,0.4906,0.3913,0.2899,0.1902,0.0871,
10,1.0,0.8975,0.7978,0.6978,0.5991,0.5041,0.4037,0.3032,0.2067,0.1084,
10,1.0,0.9017,0.8022,0.6996,0.5997,0.4957,0.3986,0.2974,0.1963,0.0986,
10,1.0,0.8958,0.7945,0.6927,0.5888,0.4892,0.3874,0.2935,0.189,0.0865,
10,1.0,0.8969,0.7972,0.6972,0.5977,0.4906,0.3905,0.2918,0.1918,0.0901,
10,1.0,0.9006,0.7976,0.6957,0.5974,0.4984,0.3965,0.2995,0.2009,0.0988,
10,1.0,0.9015,0.804,0.7065,0.6001,0.5019,0.4028,0.3023,0.2035,0.1053,
10,1.0,0.8955,0.7951,0.6908,0.5893,0.4881,0.3873,0.2862,0.1863,0.0863,
10,1.0,0.8984,0.7958,0.6956,0.5967,0.5021,0.4007,0.2993,0.2031,0.1016,
10,1.0,0.8992,0.8037,0.7061,0.6003,0.5053,0.4054,0.3087,0.2115,0.1126,
10,1.0,0.8989,0.8002,0.6997,0.6009,0.5004,0.402,0.2993,0.1986,0.0971,
10,1.0,0.902,0.7992,0.7021,0.602,0.5035,0.4051,0.3102,0.2078,0.1105,
10,1.0,0.9044,0.8021,0.7021,0.5987,0.499,0.4008,0.2978,0.2054,0.101,
10,1.0,0.8973,0.7973,0.6984,0.5974,0.4928,0.3913,0.2922,0.1915,0.0939,
10,1.0,0.8988,0.7975,0.6919,0.5903,0.4903,0.385,0.2838,0.1859,0.0899,
10,1.0,0.8984,0.7951,0.6971,0.5982,0.502,0.4081,0.3113,0.2106,0.1106,
10,1.0,0.904,0.8064,0.7001,0.5992,0.4958,0.3969,0.3048,0.2051,0.1084,
10,1.0,0.9003,0.801,0.6995,0.6028,0.5027,0.4003,0.3022,0.1985,0.0985,
10,1.0,0.9012,0.8037,0.7047,0.6039,0.5005,0.3969,0.2921,0.1916,0.0955,
10,1.0,0.901,0.7987,0.7004,0.6034,0.5041,0.4002,0.2959,0.1947,0.0903,
10,1.0,0.8997,0.7953,0.6934,0.5928,0.4907,0.3883,0.2894,0.1874,0.0864,
10,1.0,0.9039,0.8039,0.7023,0.5991,0.4999,0.4019,0.3058,0.2033,0.1039,
10,1.0,0.9014,0.7951,0.6952,0.5935,0.4939,0.3964,0.2996,0.1976,0.0977,
10,1.0,0.9012,0.7998,0.7045,0.6067,0.5046,0.4045,0.302,0.2026,0.1033,
10,1.0,0.8983,0.8003,0.7059,0.6122,0.5163,0.4151,0.3143,0.2178,0.1159,
10,1.0,0.8971,0.7957,0.6961,0.5963,0.4922,0.3845,0.2842,0.1829,0.0812,
10,1.0,0.8993,0.7952,0.694,0.5947,0.4921,0.3979,0.2969,0.1959,0.0927,
10,1.0,0.8965,0.7962,0.6968,0.5936,0.4965,0.3934,0.2957,0.193,0.0951,
10,1.0,0.8958,0.7972,0.6996,0.6009,0.5055,0.4007,0.3014,0.2021,0.0989,
10,1.0,0.905,0.804,0.7057,0.6039,0.5071,0.4094,0.3115,0.2075,0.1078,
10,1.0,0.899,0.7976,0.6991,0.5995,0.4976,0.3991,0.2968,0.1985,0.0969,
10,1.0,0.9026,0.8,0.7034,0.6001,0.5029,0.4032,0.3034,0.2047,0.1043,
10,1.0,0.8976,0.7996,0.6993,0.5965,0.4902,0.3915,0.2923,0.1951,0.0931,
10,1.0,0.9004,0.7997,0.7008,0.6006,0.5032,0.4029,0.3054,0.2061,0.1075,
10,1.0,0.893,0.7911,0.6935,0.5929,0.4955,0.3931,0.2909,0.1892,0.0864,
10,1.0,0.8996,0.8034,0.7014,0.6063,0.5095,0.4058,0.3115,0.2124,0.1135,
10,1.0,0.905,0.8094,0.7126,0.6102,0.5094,0.4062,0.3119,0.2126,0.113,
10,1.0,0.9012,0.8009,0.6999,0.5987,0.4945,0.3971,0.3019,0.2022,0.1056,
10,1.0,0.8954,0.7965,0.6962,0.5957,0.4925,0.389,0.2903,0.1896,0.0885,
10,1.0,0.9009,0.8051,0.7077,0.6094,0.5079,0.4066,0.3096,0.2101,0.1113,
10,1.0,0.9001,0.7977,0.7023,0.6005,0.4992,0.3971,0.2957,0.1943,0.098,
10,1.0,0.8996,0.8001,0.7063,0.6038,0.5013,0.4035,0.3022,0.2004,0.0971,
10,1.0,0.8977,0.7945,0.693,0.5919,0.4881,0.3864,0.2874,0.1847,0.0828,
10,1.0,0.8989,0.802,0.7012,0.6012,0.501,0.4034,0.3073,0.2063,0.1061,
10,1.0,0.9012,0.8005,0.6975,0.602,0.4989,0.3973,0.2987,0.2017,0.0983,
10,1.0,0.9025,0.8025,0.7013,0.6026,0.5036,0.4113,0.3093,0.2087,0.1097,
10,1.0,0.9048,0.806,0.704,0.6006,0.5024,0.404,0.3036,0.2039,0.1027,
10,1.0,0.9017,0.8048,0.7057,0.6056,0.5091,0.4086,0.3032,0.2037,0.1024,
10,1.0,0.9023,0.8013,0.7017,0.5986,0.5008,0.401,0.2988,0.2013,0.1005,
10,1.0,0.9026,0.8016,0.7064,0.6055,0.5072,0.4112,0.3154,0.2118,0.1116,
10,1.0,0.9022,0.8064,0.7026,0.6026,0.5041,0.4021,0.3048,0.2071,0.1042,
10,1.0,0.9004,0.8018,0.7065,0.6063,0.5048,0.4067,0.3065,0.2042,0.1027,
10,1.0,0.902,0.8031,0.7011,0.6053,0.5015,0.4014,0.2999,0.2003,0.1017,
10,1.0,0.9036,0.7988,0.7009,0.597,0.494,0.3915,0.2864,0.1848,0.0861,
10,1.0,0.899,0.7979,0.6965,0.5984,0.4986,0.3993,0.2992,0.204,0.1038,
10,1.0,0.8978,0.7976,0.7,0.6028,0.5079,0.4088,0.3086,0.2092,0.1063,
10,1.0,0.896,0.7967,0.6991,0.596,0.4928,0.396,0.2962,0.1943,0.095,
10,1.0,0.9026,0.7996,0.697,0.592,0.4922,0.3928,0.293,0.1882,0.0874,
10,1.0,0.8985,0.7967,0.7011,0.5969,0.4905,0.3913,0.291,0.1901,0.0956,
10,1.0,0.8983,0.7987,0.6952,0.5941,0.4906,0.3908,0.2914,0.1892,0.09,
10,1.0,0.899,0.7978,0.6977,0.5948,0.4932,0.3937,0.2932,0.1929,0.0946,
10,1.0,0.9024,0.8054,0.7076,0.6103,0.5101,0.4116,0.3046,0.2041,0.1072,
10,1.0,0.9042,0.8035,0.7005,0.5961,0.4917,0.3874,0.2889,0.1912,0.0894,
10,1.0,0.9051,0.8052,0.7085,0.6098,0.5078,0.4123,0.3142,0.2158,0.1145,
10,1.0,0.9016,0.8031,0.7082,0.6058,0.5081,0.4078,0.3093,0.2076,0.1097,
10,1.0,0.9045,0.8045,0.7045,0.6072,0.506,0.4035,0.301,0.1968,0.0957,
10,1.0,0.8995,0.796,0.6976,0.5985,0.499,0.404,0.3047,0.205,0.1051,
10,1.0,0.8986,0.8019,0.7051,0.6048,0.5048,0.411,0.3094,0.2066,0.1067,
10,1.0,0.896,0.7933,0.6897,0.5898,0.4844,0.3819,0.2784,0.1797,0.0796,
10,1.0,0.8993,0.7924,0.6961,0.5975,0.499,0.3984,0.3019,0.2035,0.106,
10,1.0,0.8951,0.7951,0.6955,0.6041,0.5039,0.4067,0.3057,0.2054,0.1058,
10,1.0,0.8958,0.7975,0.6953,0.5965,0.4985,0.3994,0.2987,0.2005,0.103,
10,1.0,0.9037,0.81,0.7102,0.6123,0.5183,0.419,0.3184,0.2204,0.1195,
10,1.0,0.8996,0.8039,0.7045,0.6027,0.5063,0.4045,0.302,0.2021,0.1027,
10,1.0,0.9035,0.8018,0.7028,0.6062,0.5042,0.3976,0.2962,0.1943,0.0971,
10,1.0,0.9014,0.805,0.7052,0.6009,0.501,0.4007,0.3026,0.2051,0.101,
10,1.0,0.8999,0.7985,0.7004,0.6001,0.5006,0.403,0.3031,0.2017,0.0999,
10,1.0,0.9053,0.8082,0.7083,0.6127,0.5108,0.4136,0.3093,0.2083,0.109,
10,1.0,0.9028,0.8068,0.6997,0.6011,0.501,0.4006,0.3004,0.206,0.1041,
10,1.0,0.901,0.8013,0.6976,0.5941,0.4965,0.4032,0.3045,0.2066,0.1045,
10,1.0,0.9024,0.8032,0.7077,0.6087,0.5108,0.4098,0.3122,0.2101,0.1135,
10,1.0,0.8988,0.8054,0.7096,0.6061,0.5052,0.4007,0.3008,0.2032,0.105,
10,1.0,0.9032,0.7986,0.6981,0.6,0.498,0.3979,0.2985,0.2033,0.1042,
10,1.0,0.8971,0.8004,0.6975,0.6034,0.5058,0.4037,0.3074,0.2049,0.1074,
10,1.0,0.9041,0.7999,0.7032,0.6048,0.5035,0.4048,0.3014,0.2038,0.103,
10,1.0,0.8991,0.8018,0.7029,0.6053,0.5025,0.4018,0.3043,0.206,0.1064,
10,1.0,0.9001,0.7996,0.6977,0.6023,0.5052,0.4059,0.3074,0.2102,0.1126,
10,1.0,0.8943,0.7914,0.6923,0.5926,0.4956,0.3944,0.2957,0.1903,0.0938,
10,1.0,0.9039,0.8052,0.702,0.6045,0.5041,0.3968,0.2967,0.1964,0.0994,
10,1.0,0.8979,0.7964,0.6984,0.6005,0.5025,0.4031,0.3036,0.2047,0.1096,
10,1.0,0.8977,0.7933,0.6957,0.5944,0.4961,0.389,0.2914,0.1898,0.091,
10,1.0,0.9054,0.804,0.7049,0.6057,0.5052,0.4018,0.3038,0.2056,0.1068,
10,1.0,0.9009,0.7991,0.698,0.6001,0.4994,0.3976,0.301,0.1983,0.0956,
10,1.0,0.9009,0.7979,0.6972,0.6002,0.5022,0.4044,0.3031,0.1986,0.0974,
10,1.0,0.9023,0.8019,0.7035,0.6038,0.5001,0.3968,0.2988,0.1972,0.0997,
10,1.0,0.9021,0.7967,0.6992,0.5962,0.4943,0.3923,0.2965,0.1943,0.0913,
10,1.0,0.9021,0.7992,0.6995,0.6006,0.505,0.4,0.2972,0.1984,0.1013,
10,1.0,0.898,0.7934,0.6973,0.5919,0.4902,0.3874,0.2926,0.1954,0.0951,
10,1.0,0.9008,0.7964,0.7016,0.6013,0.5001,0.3995,0.2977,0.1982,0.0995,
10,1.0,0.8999,0.7974,0.6967,0.5914,0.491,0.3947,0.2967,0.1922,0.0906,
10,1.0,0.8973,0.7947,0.6944,0.5888,0.4941,0.3947,0.2933,0.1909,0.093,
10,1.0,0.8997,0.8014,0.7058,0.607,0.5075,0.4044,0.3055,0.2025,0.1073,
10,1.0,0.8999,0.7942,0.6941,0.5974,0.4953,0.3941,0.2925,0.1924,0.0909,
10,1.0,0.8977,0.7962,0.6933,0.5927,0.4901,0.3867,0.2828,0.183,0.0852,
10,1.0,0.9014,0.7988,0.7006,0.6007,0.5059,0.41,0.3076,0.2103,0.1084,
10,1.0,0.8954,0.7907,0.6909,0.5892,0.4892,0.3916,0.2926,0.1911,0.0885,
10,1.0,0.901,0.8006,0.7018,0.5981,0.5023,0.4023,0.3029,0.2012,0.099,
10,1.0,0.9,0.8017,0.6973,0.5968,0.4972,0.3962,0.2951,0.1961,0.0977,
10,1.0,0.8972,0.7938,0.6933,0.5944,0.4991,0.4026,0.3041,0.2027,0.1015,
10,1.0,0.8966,0.7943,0.6952,0.5918,0.4919,0.3973,0.3005,0.2024,0.1032,
10,1.0,0.9011,0.801,0.7028,0.6029,0.4997,0.3977,0.297,0.1885,0.0847,
10,1.0,0.894,0.7932,0.6937,0.5969,0.4971,0.393,0.2924,0.1961,0.0975,
10,1.0,0.9036,0.811,0.7097,0.61,0.5149,0.4154,0.3162,0.2183,0.1164,
10,1.0,0.9,0.7989,0.6941,0.5969,0.5004,0.3999,0.2989,0.2026,0.1008,
10,1.0,0.8988,0.7985,0.7037,0.5944,0.4933,0.3958,0.2929,0.1931,0.0933,
10,1.0,0.9006,0.7983,0.6951,0.5937,0.4936,0.3925,0.2921,0.189,0.0865,
10,1.0,0.9,0.8047,0.7021,0.6009,0.4983,0.3963,0.305,0.2081,0.1102,
10,1.0,0.9053,0.8051,0.7057,0.6056,0.5066,0.4027,0.3089,0.2057,0.1085,
10,1.0,0.8984,0.7964,0.6979,0.6007,0.5004,0.4024,0.3026,0.2057,0.1029,
10,1.0,0.9,0.8029,0.6968,0.5993,0.4948,0.3877,0.2879,0.1867,0.0848,
10,1.0,0.9015,0.8035,0.7051,0.6026,0.5065,0.4041,0.3062,0.2087,0.1115,
10,1.0,0.8976,0.7958,0.6976,0.5966,0.4985,0.3984,0.306,0.2073,0.1102,
10,1.0,0.8986,0.7973,0.6958,0.5978,0.4938,0.3913,0.2931,0.1957,0.0976,
10,1.0,0.902,0.7981,0.6973,0.5939,0.492,0.3913,0.2873,0.1916,0.0922,
10,1.0,0.8992,0.7974,0.6937,0.5993,0.4966,0.3938,0.2923,0.1923,0.0938,
10,1.0,0.8941,0.7952,0.7024,0.5996,0.4953,0.3935,0.2915,0.1918,0.0943,
10,1.0,0.9036,0.8022,0.7057,0.6028,0.5053,0.405,0.3081,0.2077,0.1053,
10,1.0,0.8946,0.7991,0.699,0.6023,0.5027,0.4074,0.3091,0.2136,0.1117,
10,1.0,0.899,0.798,0.7035,0.6079,0.5067,0.4089,0.3115,0.2105,0.1082,
10,1.0,0.9022,0.8008,0.6971,0.5983,0.4989,0.3998,0.303,0.2031,0.1026,
10,1.0,0.9032,0.8072,0.706,0.6079,0.5085,0.4084,0.3128,0.214,0.1161,
10,1.0,0.9004,0.7983,0.6998,0.6027,0.5028,0.399,0.2987,0.2022,0.1041,
10,1.0,0.897,0.797,0.6965,0.6026,0.5085,0.4081,0.3049,0.2056,0.1062,
10,1.0,0.9002,0.8005,0.7003,0.6031,0.5032,0.4023,0.2983,0.1978,0.0986,
10,1.0,0.8954,0.7896,0.6934,0.594,0.4906,0.3881,0.2857,0.1824,0.0845,
10,1.0,0.9028,0.8037,0.7016,0.5983,0.4977,0.3977,0.2936,0.1939,0.0915,
10,1.0,0.9041,0.8052,0.7077,0.6061,0.5023,0.4005,0.2991,0.2022,0.1017,
10,1.0,0.8926,0.7989,0.7013,0.6004,0.5008,0.4,0.2997,0.1967,0.0931,
10,1.0,0.8976,0.7993,0.6994,0.5965,0.5013,0.3999,0.3013,0.2002,0.0993,
10,1.0,0.8988,0.7991,0.704,0.6039,0.5049,0.4051,0.3092,0.2064,0.1089,
10,1.0,0.894,0.7913,0.6917,0.5876,0.4814,0.3845,0.2805,0.1827,0.0871,
10,1.0,0.8994,0.7991,0.7026,0.5992,0.4956,0.3923,0.2961,0.1953,0.0938,
10,1.0,0.9055,0.8044,0.7026,0.5998,0.5021,0.4041,0.3006,0.1965,0.0964,
10,1.0,0.9059,0.8027,0.7019,0.6009,0.5027,0.4045,0.3043,0.2048,0.1032,
10,1.0,0.9024,0.8041,0.7087,0.6077,0.5084,0.4055,0.3003,0.1966,0.1016,
10,1.0,0.9033,0.8031,0.7004,0.5954,0.4961,0.3965,0.2968,0.1959,0.0958,
10,1.0,0.8943,0.7931,0.6928,0.5936,0.4933,0.3905,0.2914,0.1936,0.0982,
10,1.0,0.9027,0.8027,0.7014,0.5994,0.504,0.4051,0.31,0.2039,0.1042,
10,1.0,0.8995,0.8025,0.6991,0.6034,0.5012,0.4027,0.3071,0.2076,0.1102,
10,1.0,0.8975,0.8009,0.6995,0.602,0.5104,0.4081,0.3088,0.2072,0.1103,
10,1.0,0.9,0.8006,0.7008,0.5986,0.5024,0.4023,0.3003,0.2015,0.1012,
10,1.0,0.8994,0.8004,0.6999,0.5986,0.4936,0.3943,0.2974,0.1943,0.0949,
10,1.0,0.9041,0.8069,0.7078,0.6076,0.5107,0.414,0.3113,0.2161,0.1173,
10,1.0,0.8992,0.7996,0.703,0.6058,0.5056,0.4045,0.303,0.2041,0.1027,
10,1.0,0.9001,0.7979,0.696,0.5967,0.4976,0.3981,0.2955,0.1922,0.0941,
10,1.0,0.9027,0.8027,0.7047,0.6026,0.5028,0.4039,0.3081,0.2073,0.1083,
