"(0, 8)","(0, 7)","(0, 18)","(0, 9)","(0, 20)","(0, 16)","(0, 14)","(0, 1)","(0, 4)","(0, 10)","(0, 15)","(0, 5)","(0, 11)","(0, 13)","(0, 17)","(0, 6)","(0, 12)","(0, 19)","(0, 3)","(0, 2)",
1.0,1.0,0.9068,0.9068,0.8964,0.68,0.6759,0.6758,0.6758,0.6758,0.4711,0.4448,0.4448,0.4364,0.4311,0.4311,0.4068,0.4068,0.4062,0.4061,
1.0,1.0,0.91,0.91,0.896,0.681,0.677,0.677,0.677,0.677,0.4673,0.4402,0.4402,0.4289,0.4241,0.4241,0.4017,0.4017,0.4009,0.4009,
1.0,0.9999,0.9051,0.9051,0.8937,0.68,0.6772,0.6772,0.6772,0.6772,0.4672,0.4364,0.4364,0.4271,0.4228,0.4228,0.397,0.397,0.3962,0.396,
1.0,0.9997,0.9054,0.9054,0.8905,0.6785,0.6754,0.6754,0.6754,0.6754,0.4655,0.4402,0.4402,0.432,0.4267,0.4267,0.4025,0.4025,0.4015,0.4015,
1.0,1.0,0.9053,0.9053,0.8944,0.6778,0.6747,0.6747,0.6747,0.6747,0.4628,0.4341,0.4341,0.4236,0.4195,0.4195,0.3946,0.3946,0.394,0.394,
1.0,0.9997,0.9124,0.9124,0.8997,0.688,0.6859,0.6859,0.6859,0.6859,0.4729,0.4465,0.4465,0.4368,0.4326,0.4326,0.4074,0.4074,0.406,0.4058,
1.0,0.9999,0.9116,0.9116,0.8996,0.6881,0.6843,0.6843,0.6843,0.6843,0.4693,0.4408,0.4408,0.4313,0.4277,0.4277,0.4029,0.4029,0.4019,0.4018,
1.0,1.0,0.9077,0.9077,0.8971,0.6894,0.6866,0.6866,0.6866,0.6866,0.4737,0.4457,0.4457,0.4355,0.4309,0.4309,0.4057,0.4057,0.4047,0.4046,
1.0,1.0,0.9084,0.9084,0.8957,0.6802,0.6764,0.6764,0.6764,0.6764,0.4654,0.4386,0.4386,0.428,0.4235,0.4235,0.3979,0.3979,0.3967,0.3963,
1.0,1.0,0.9057,0.9057,0.8925,0.6755,0.672,0.672,0.672,0.672,0.4588,0.428,0.428,0.4179,0.4141,0.4141,0.3892,0.3892,0.3882,0.3881,
1.0,0.9999,0.9086,0.9086,0.8947,0.6764,0.6727,0.6727,0.6727,0.6727,0.4555,0.4277,0.4277,0.4181,0.4142,0.4142,0.3895,0.3895,0.3886,0.3885,
1.0,0.9998,0.909,0.909,0.8967,0.688,0.6858,0.6858,0.6858,0.6858,0.4717,0.4432,0.4432,0.4343,0.4296,0.4296,0.4018,0.4018,0.4006,0.4005,
1.0,0.9998,0.9064,0.9064,0.8932,0.6812,0.678,0.678,0.678,0.678,0.4636,0.4379,0.4379,0.4258,0.4204,0.4204,0.3966,0.3965,0.3959,0.3955,
1.0,0.9999,0.912,0.912,0.8998,0.6852,0.6825,0.6825,0.6825,0.6825,0.4631,0.4369,0.4369,0.428,0.4234,0.4234,0.4001,0.4001,0.3992,0.399,
1.0,1.0,0.9093,0.9093,0.8981,0.6774,0.6744,0.6743,0.6743,0.6743,0.4578,0.429,0.429,0.4198,0.4152,0.4152,0.3879,0.3879,0.3869,0.3867,
1.0,0.9998,0.9138,0.9138,0.9025,0.682,0.68,0.68,0.68,0.68,0.4586,0.4319,0.4319,0.4224,0.4162,0.4162,0.3957,0.3957,0.395,0.3949,
