"(0, 7)","(4, 5)","(5, 6)","(2, 4)","(3, 4)","(8, 9)","(3, 9)","(3, 8)","(3, 7)","(7, 8)","(4, 6)","(0, 2)","(1, 3)","(6, 7)","(7, 9)","(5, 8)","(0, 3)","(2, 8)","(2, 3)","(0, 4)","(3, 5)","(5, 9)","(1, 2)","(3, 6)","(2, 6)","(1, 6)","(5, 7)","(4, 9)","(0, 8)","(2, 9)","(0, 5)","(1, 5)","(4, 7)","(6, 8)","(4, 8)","(1, 9)","(2, 7)","(1, 4)","(1, 8)","(6, 9)","(0, 9)","(1, 7)","(2, 5)","(0, 6)","(0, 1)",
1.0,1.0,0.9146,0.9146,0.8391,1.0,0.8371,0.7541,0.6887,0.6925,0.6821,0.8489,0.6662,0.6279,0.5494,0.6308,0.4802,0.5718,0.367,0.4944,0.309,0.4866,0.6162,0.2377,0.3949,0.4798,0.3279,0.3896,0.3868,0.2994,0.2847,0.3114,0.2497,0.2494,0.1707,0.341,0.1748,0.2018,0.1812,0.1656,0.1602,0.1395,0.1161,0.143,0.1072,
1.0,1.0,0.9174,0.9174,0.8314,1.0,0.838,0.7582,0.6945,0.6912,0.6772,0.8398,0.6761,0.6204,0.5475,0.617,0.4823,0.5454,0.3678,0.4948,0.3135,0.491,0.5979,0.2437,0.3928,0.4786,0.3282,0.3912,0.3756,0.2945,0.2829,0.3024,0.246,0.2421,0.1656,0.3252,0.1787,0.1884,0.164,0.1692,0.1633,0.141,0.1003,0.1447,0.1081,
1.0,1.0,0.9123,0.9123,0.8277,1.0,0.8435,0.7609,0.692,0.6911,0.6795,0.8369,0.6692,0.6216,0.5404,0.6286,0.4814,0.5624,0.3672,0.485,0.3086,0.493,0.6079,0.2423,0.3922,0.478,0.3212,0.3899,0.3866,0.2871,0.2839,0.3041,0.2308,0.2464,0.1634,0.3242,0.1699,0.1854,0.1705,0.1607,0.1607,0.1379,0.1081,0.1448,0.1077,
1.0,1.0,0.9129,0.9129,0.8299,1.0,0.837,0.7522,0.6811,0.6837,0.6777,0.839,0.6602,0.6217,0.542,0.6224,0.4751,0.5615,0.3613,0.4867,0.3039,0.495,0.6008,0.238,0.3862,0.4753,0.3294,0.3771,0.3763,0.2772,0.2826,0.3185,0.2285,0.2425,0.1586,0.3292,0.1583,0.1868,0.1707,0.1671,0.16,0.1319,0.1106,0.142,0.1071,
1.0,1.0,0.9138,0.9138,0.8325,1.0,0.8409,0.7571,0.6865,0.6906,0.6819,0.8415,0.663,0.6283,0.5501,0.6194,0.4839,0.5579,0.3656,0.4884,0.3061,0.484,0.6172,0.2414,0.3935,0.4851,0.3273,0.3848,0.3793,0.2962,0.2797,0.3054,0.231,0.248,0.1603,0.3318,0.1707,0.1928,0.1698,0.1701,0.1631,0.1449,0.1059,0.1476,0.1118,
1.0,1.0,0.92,0.92,0.8337,1.0,0.8379,0.75,0.6838,0.6816,0.6828,0.8351,0.6656,0.6202,0.5382,0.6228,0.4812,0.5518,0.368,0.4934,0.3144,0.4877,0.6065,0.2431,0.3887,0.4808,0.3321,0.3828,0.3785,0.2799,0.2806,0.3127,0.2385,0.2451,0.1634,0.3228,0.164,0.1958,0.1678,0.161,0.154,0.1303,0.1047,0.1462,0.1102,
1.0,1.0,0.9202,0.9202,0.8381,1.0,0.843,0.7622,0.695,0.6894,0.6882,0.841,0.6733,0.6258,0.5448,0.6278,0.4858,0.5608,0.3628,0.499,0.3089,0.4906,0.5951,0.2365,0.3809,0.4776,0.3284,0.3909,0.3734,0.2855,0.2842,0.315,0.2374,0.2419,0.1631,0.3288,0.1571,0.1972,0.1682,0.1634,0.1591,0.1339,0.1051,0.1428,0.1033,
1.0,1.0,0.914,0.914,0.8354,1.0,0.8377,0.7555,0.6858,0.6865,0.6851,0.8414,0.6679,0.6201,0.5401,0.6182,0.4821,0.5561,0.3702,0.4867,0.314,0.492,0.6155,0.2517,0.3919,0.4761,0.3236,0.3842,0.3775,0.2901,0.2785,0.3061,0.2373,0.2425,0.1658,0.3269,0.1656,0.1914,0.1714,0.1662,0.1556,0.1353,0.1038,0.1444,0.1127,
1.0,1.0,0.9171,0.9171,0.833,1.0,0.8376,0.7566,0.6905,0.6829,0.6836,0.8419,0.6666,0.6313,0.5557,0.6239,0.4852,0.5568,0.372,0.5054,0.3171,0.4913,0.6157,0.2462,0.4034,0.4952,0.3327,0.3907,0.3883,0.2951,0.2901,0.3086,0.2505,0.2561,0.1731,0.3261,0.1712,0.2037,0.1722,0.1695,0.1622,0.1366,0.1082,0.1567,0.1167,
1.0,1.0,0.9128,0.9128,0.8276,1.0,0.84,0.7588,0.6923,0.6896,0.6756,0.8385,0.6679,0.6272,0.5502,0.6243,0.4864,0.5666,0.3616,0.4884,0.3062,0.4981,0.6092,0.2373,0.3945,0.4754,0.3332,0.3814,0.3891,0.2903,0.2838,0.3053,0.2454,0.2508,0.1634,0.3313,0.1739,0.1901,0.175,0.1662,0.167,0.1403,0.1094,0.1465,0.1125,
