"(0, 11)","(0, 19)","(0, 17)","(0, 15)","(0, 1)","(0, 18)","(0, 12)","(0, 3)","(0, 4)","(0, 10)","(0, 6)","(0, 8)","(0, 5)","(0, 20)","(0, 7)","(0, 16)","(0, 9)","(0, 2)","(0, 14)","(0, 13)",
1.0,0.9504,0.8992,0.8482,0.8043,0.755,0.705,0.6563,0.6055,0.5528,0.5032,0.4557,0.4035,0.3586,0.3073,0.2536,0.2064,0.1579,0.1108,0.0598,
1.0,0.9528,0.906,0.8533,0.8006,0.751,0.6962,0.6466,0.5975,0.5487,0.4964,0.4487,0.4021,0.3467,0.2958,0.2465,0.1954,0.1477,0.0973,0.0466,
1.0,0.9503,0.8987,0.851,0.8002,0.749,0.7014,0.653,0.6034,0.5543,0.5047,0.4533,0.4072,0.3548,0.3034,0.2519,0.2005,0.1469,0.0953,0.0462,
1.0,0.95,0.8991,0.8527,0.8015,0.7508,0.6998,0.6505,0.6013,0.5537,0.5028,0.4524,0.4025,0.351,0.2994,0.2496,0.2008,0.1529,0.1006,0.0495,
1.0,0.9528,0.9029,0.855,0.8084,0.7567,0.7076,0.658,0.61,0.561,0.5085,0.4566,0.4083,0.3585,0.3098,0.2593,0.2079,0.1569,0.1106,0.0605,
1.0,0.9471,0.9006,0.8514,0.7995,0.7507,0.6964,0.642,0.5951,0.5461,0.4955,0.446,0.3976,0.3469,0.298,0.2483,0.1984,0.1488,0.1005,0.0501,
1.0,0.9504,0.8992,0.849,0.7967,0.7501,0.6995,0.6509,0.6019,0.5483,0.4951,0.4441,0.3936,0.345,0.296,0.2448,0.1945,0.1447,0.0922,0.0459,
1.0,0.9465,0.8952,0.8446,0.7953,0.7434,0.6934,0.6409,0.5899,0.5435,0.4895,0.4411,0.39,0.3414,0.2923,0.2411,0.1948,0.1442,0.0971,0.0479,
1.0,0.9503,0.9032,0.854,0.8019,0.7517,0.7013,0.6518,0.5992,0.5503,0.5037,0.4564,0.4072,0.3587,0.3102,0.259,0.2054,0.1552,0.1096,0.0558,
1.0,0.9506,0.8992,0.8522,0.7992,0.7506,0.7013,0.6534,0.6007,0.5481,0.4977,0.4447,0.3975,0.3471,0.3002,0.2502,0.1998,0.15,0.0982,0.0467,
1.0,0.9454,0.897,0.8456,0.7935,0.7452,0.6953,0.6468,0.5981,0.5484,0.4982,0.4518,0.4009,0.3557,0.3056,0.2538,0.2042,0.1561,0.1061,0.0588,
1.0,0.9457,0.8966,0.8476,0.8004,0.7534,0.7086,0.6544,0.6015,0.5511,0.5016,0.4522,0.4045,0.3539,0.3029,0.2527,0.1988,0.1487,0.0972,0.0455,
1.0,0.9542,0.9047,0.8533,0.8032,0.7534,0.7021,0.6514,0.6033,0.5524,0.499,0.4474,0.3974,0.3467,0.2972,0.248,0.2006,0.1487,0.0956,0.0435,
1.0,0.9497,0.9012,0.8507,0.8026,0.7519,0.7017,0.6496,0.5949,0.5463,0.4934,0.4435,0.3958,0.345,0.2938,0.2406,0.1927,0.1428,0.0916,0.0426,
1.0,0.9488,0.8972,0.8478,0.7985,0.7493,0.6988,0.6468,0.5951,0.5441,0.4923,0.4452,0.3982,0.3496,0.3048,0.2498,0.1979,0.1494,0.0989,0.0474,
1.0,0.9502,0.9005,0.8503,0.802,0.7502,0.7015,0.653,0.6051,0.5552,0.5066,0.4576,0.4112,0.3608,0.3109,0.2628,0.2158,0.162,0.1129,0.0616,
1.0,0.9514,0.9045,0.8556,0.8036,0.7543,0.7015,0.6518,0.602,0.5507,0.5001,0.4482,0.3986,0.3516,0.3002,0.2532,0.2003,0.1508,0.1012,0.05,
1.0,0.9466,0.8982,0.8497,0.8028,0.7515,0.6978,0.6471,0.5983,0.5434,0.4941,0.4452,0.3997,0.3537,0.3042,0.2527,0.2032,0.1515,0.101,0.0519,
1.0,0.952,0.8993,0.8478,0.7956,0.7483,0.6963,0.6459,0.5998,0.5523,0.5043,0.4526,0.3997,0.3452,0.2958,0.2461,0.1957,0.1437,0.0938,0.0441,
1.0,0.9516,0.8998,0.8455,0.7921,0.746,0.6967,0.6501,0.6007,0.5508,0.5013,0.448,0.3967,0.3474,0.2972,0.2482,0.1989,0.1487,0.1003,0.0522,
1.0,0.9487,0.8956,0.8478,0.7997,0.7498,0.695,0.6465,0.5977,0.5476,0.4967,0.4481,0.3985,0.3512,0.3034,0.2524,0.2015,0.1503,0.0998,0.0465,
1.0,0.9514,0.9002,0.8449,0.7966,0.7449,0.6966,0.6463,0.5969,0.5477,0.4961,0.4471,0.3969,0.3464,0.2994,0.2505,0.1988,0.1476,0.0942,0.0462,
1.0,0.95,0.8966,0.847,0.8006,0.7494,0.6982,0.6465,0.5971,0.5468,0.4981,0.4485,0.403,0.3541,0.3056,0.2552,0.2084,0.159,0.1085,0.0546,
1.0,0.9465,0.897,0.8457,0.7938,0.7409,0.6934,0.6458,0.5975,0.5463,0.4908,0.4405,0.3936,0.3412,0.2946,0.2444,0.1944,0.147,0.0997,0.0493,
1.0,0.9476,0.8926,0.8378,0.784,0.7335,0.6801,0.6282,0.5776,0.5278,0.4823,0.4341,0.3857,0.3356,0.2861,0.2367,0.1885,0.1363,0.0845,0.0358,
1.0,0.9514,0.8985,0.847,0.8005,0.7505,0.6967,0.6462,0.5938,0.5439,0.4908,0.4433,0.3897,0.3422,0.2916,0.2461,0.199,0.1483,0.0983,0.0469,
1.0,0.9519,0.8998,0.8501,0.8007,0.7479,0.6982,0.6454,0.5955,0.5472,0.499,0.4511,0.3993,0.3458,0.2947,0.2452,0.1938,0.1404,0.0899,0.0388,
1.0,0.9507,0.8977,0.8515,0.8012,0.7533,0.705,0.6532,0.6062,0.5569,0.5104,0.4581,0.4067,0.359,0.3102,0.2581,0.2036,0.1533,0.1007,0.0514,
1.0,0.9496,0.8963,0.8436,0.7911,0.7385,0.6885,0.6381,0.5851,0.5333,0.4836,0.4312,0.3838,0.3372,0.2868,0.2416,0.1898,0.1406,0.0887,0.0389,
1.0,0.9491,0.8947,0.8418,0.7922,0.7409,0.6908,0.6413,0.5891,0.5414,0.4867,0.4387,0.3858,0.3375,0.288,0.2403,0.1907,0.1391,0.0915,0.0406,
1.0,0.9503,0.9015,0.8516,0.802,0.7463,0.6936,0.6447,0.5937,0.5434,0.4928,0.4455,0.3933,0.3454,0.296,0.2491,0.2011,0.1514,0.1022,0.0507,
1.0,0.9532,0.9049,0.8565,0.8094,0.7573,0.7074,0.6528,0.6034,0.5551,0.5005,0.4515,0.3987,0.3476,0.2983,0.2511,0.2015,0.1509,0.1014,0.0512,
1.0,0.9474,0.899,0.8481,0.7977,0.7456,0.6968,0.6483,0.5952,0.542,0.4902,0.4383,0.3889,0.3396,0.2905,0.2402,0.1897,0.1378,0.0882,0.0404,
1.0,0.9525,0.902,0.8549,0.8057,0.7568,0.7101,0.662,0.6137,0.5666,0.5135,0.4612,0.409,0.3557,0.3036,0.2492,0.1993,0.1481,0.0979,0.0473,
1.0,0.9511,0.9008,0.8486,0.7982,0.7475,0.696,0.6459,0.5942,0.5446,0.4968,0.4465,0.3974,0.3482,0.2993,0.2485,0.2018,0.1505,0.1006,0.0538,
1.0,0.9502,0.899,0.8475,0.7952,0.7456,0.6968,0.6478,0.5968,0.5476,0.4939,0.4442,0.3945,0.3445,0.3018,0.2511,0.2015,0.1508,0.1,0.0507,
1.0,0.9488,0.9032,0.8531,0.8008,0.7473,0.6927,0.6435,0.5909,0.5408,0.4895,0.4388,0.3878,0.3354,0.2821,0.2315,0.1835,0.1351,0.0845,0.0331,
1.0,0.9425,0.8952,0.8485,0.8003,0.7494,0.6996,0.6533,0.5998,0.5509,0.5026,0.4516,0.4011,0.3504,0.3016,0.2532,0.2025,0.1508,0.0983,0.0507,
1.0,0.9485,0.9009,0.8513,0.8069,0.7566,0.7047,0.6539,0.6038,0.5529,0.5064,0.4587,0.4088,0.3566,0.3062,0.2559,0.2063,0.1523,0.1021,0.0533,
1.0,0.9533,0.9045,0.8539,0.8049,0.7541,0.7055,0.6574,0.6074,0.5569,0.5076,0.4574,0.4094,0.3587,0.3079,0.2594,0.2076,0.159,0.108,0.0568,
1.0,0.9491,0.8974,0.8459,0.7948,0.7436,0.6942,0.643,0.5891,0.5392,0.4928,0.4442,0.394,0.3456,0.29,0.2389,0.1872,0.1399,0.0897,0.04,
1.0,0.951,0.8988,0.8458,0.7985,0.7463,0.6971,0.6474,0.6007,0.5534,0.5045,0.4557,0.4051,0.3544,0.3049,0.2561,0.2099,0.1588,0.1061,0.0546,
1.0,0.9505,0.8959,0.847,0.7958,0.7482,0.6965,0.6398,0.5897,0.5387,0.4869,0.4376,0.3839,0.3341,0.2843,0.2348,0.1823,0.1317,0.0816,0.0304,
1.0,0.9483,0.8994,0.8491,0.7993,0.7533,0.7026,0.653,0.6039,0.5522,0.4993,0.4504,0.4019,0.3559,0.3059,0.2523,0.2024,0.1534,0.1015,0.0517,
