n_vertices,rounding_scheme,r,c,effective_sample_size
10,simulated,0.8,0.5,6245.625357005029
10,simulated,0.8,0.6,5578.170574135709
10,simulated,0.8,0.6666666666666666,5129.114290122867
10,simulated,0.8,0.7,4853.709036345696
10,simulated,0.8,0.75,4366.705384247888
10,simulated,0.8,0.8,3907.6001787039245
10,simulated,0.8,0.9,3324.4491975355945
10,simulated,0.8,1.0,3139.4530226858974
20,simulated,0.8,0.5,2335.3520788763494
20,simulated,0.8,0.6,1683.786949696969
20,simulated,0.8,0.6666666666666666,1324.0588227775354
20,simulated,0.8,0.7,1116.2309067725778
20,simulated,0.8,0.75,818.3727114144248
20,simulated,0.8,0.8,583.0728479615237
20,simulated,0.8,0.9,308.30338117484513
20,simulated,0.8,1.0,238.02279003163022
30,simulated,0.8,0.5,821.5055504484949
30,simulated,0.8,0.6,455.1480386758383
30,simulated,0.8,0.6666666666666666,304.3247962213148
30,simulated,0.8,0.7,254.21189972893495
30,simulated,0.8,0.75,179.92018563257653
30,simulated,0.8,0.8,79.28439321613004
30,simulated,0.8,0.9,29.772903041258893
30,simulated,0.8,1.0,38.30867336400943
