rounding_scheme,r,c,effective_sample_size
simulated,0.0,0.5,28.407027232461086
simple,0.0,0.5,12.482597188207054
simulated,0.0,0.6,13.47262312876453
simple,0.0,0.6,3.911548773580828
simulated,0.0,0.6666666666666666,9.478320613527234
simple,0.0,0.6666666666666666,10.85624599614078
simulated,0.0,0.7,2.66658798684406
simple,0.0,0.7,7.164627028523552
simulated,0.0,0.75,11.544137805596373
simple,0.0,0.75,40.73135687309497
simulated,0.0,0.8,8.425192889956481
simple,0.0,0.8,10.345417578031453
simulated,0.0,0.9,1.176311107325639
simple,0.0,0.9,14.444882066648828
simulated,0.0,1.0,5.435349883248707
simple,0.0,1.0,6.877131682355067
simulated,0.2,0.5,185.3576040057582
simple,0.2,0.5,20.690785660885076
simulated,0.2,0.6,11.273685792446724
simple,0.2,0.6,41.95242260494529
simulated,0.2,0.6666666666666666,9.092586553514213
simple,0.2,0.6666666666666666,70.82254795304121
simulated,0.2,0.7,34.07173814521659
simple,0.2,0.7,55.60232476939329
simulated,0.2,0.75,22.75768392772793
simple,0.2,0.75,30.623027059826374
simulated,0.2,0.8,15.710081116655942
simple,0.2,0.8,30.973442549472704
simulated,0.2,0.9,6.986382703218258
simple,0.2,0.9,23.95384847680451
simulated,0.2,1.0,3.3803841754247315
simple,0.2,1.0,27.2954261397716
simulated,0.4,0.5,646.9565429759592
simple,0.4,0.5,355.0275557851624
simulated,0.4,0.6,407.9354594068754
simple,0.4,0.6,193.62544927584497
simulated,0.4,0.6666666666666666,317.43370786185517
simple,0.4,0.6666666666666666,154.24151472710298
simulated,0.4,0.7,250.74928147812463
simple,0.4,0.7,149.06457111564316
simulated,0.4,0.75,150.9825981610779
simple,0.4,0.75,258.3285573092286
simulated,0.4,0.8,111.32745783864162
simple,0.4,0.8,294.3389141044864
simulated,0.4,0.9,65.79077602071366
simple,0.4,0.9,385.20087024897026
simulated,0.4,1.0,34.36752087383686
simple,0.4,1.0,284.42491942468496
simulated,0.6,0.5,2706.704221913306
simple,0.6,0.5,1680.316822246932
simulated,0.6,0.6,2081.5308982327774
simple,0.6,0.6,1360.4473855062906
simulated,0.6,0.6666666666666666,1594.3186845481976
simple,0.6,0.6666666666666666,1140.497909932123
simulated,0.6,0.7,1413.2056706404826
simple,0.6,0.7,996.5159152426288
simulated,0.6,0.75,1070.5855592678026
simple,0.6,0.75,1198.3242039248987
simulated,0.6,0.8,778.6199258579516
simple,0.6,0.8,1634.7617043386285
simulated,0.6,0.9,624.8823291389381
simple,0.6,0.9,1518.0897061053126
simulated,0.6,1.0,454.42058764984165
simple,0.6,1.0,1372.3400680127295
simulated,0.8,0.5,6245.625357005029
simple,0.8,0.5,5197.6412008189955
simulated,0.8,0.6,5578.170574135709
simple,0.8,0.6,4915.581448795531
simulated,0.8,0.6666666666666666,5129.114290122867
simple,0.8,0.6666666666666666,4460.579109918671
simulated,0.8,0.7,4853.709036345696
simple,0.8,0.7,4491.567176598036
simulated,0.8,0.75,4366.705384247888
simple,0.8,0.75,4594.012890623629
simulated,0.8,0.8,3907.6001787039245
simple,0.8,0.8,5149.526002483016
simulated,0.8,0.9,3324.4491975355945
simple,0.8,0.9,4936.251159956726
simulated,0.8,1.0,3139.4530226858974
simple,0.8,1.0,4879.63936630546
simulated,1.0,0.5,10000.0
simple,1.0,0.5,10000.0
simulated,1.0,0.6,10000.0
simple,1.0,0.6,10000.0
simulated,1.0,0.6666666666666666,10000.0
simple,1.0,0.6666666666666666,10000.0
simulated,1.0,0.7,10000.0
simple,1.0,0.7,10000.0
simulated,1.0,0.75,10000.0
simple,1.0,0.75,10000.0
simulated,1.0,0.8,10000.0
simple,1.0,0.8,10000.0
simulated,1.0,0.9,10000.0
simple,1.0,0.9,10000.0
simulated,1.0,1.0,10000.0
simple,1.0,1.0,10000.0
