graph,rounding_scheme,c,worst_case_guarantee
star,simple,0.5,0.43799999999999994
star,simulated,0.5,0.45999999999999996
star,simple,0.6,0.5479999999999999
star,simulated,0.6,0.534
star,simple,0.6666666666666666,0.6060000000000001
star,simulated,0.6666666666666666,0.598
star,simple,0.7,0.6419999999999999
star,simulated,0.7,0.63
star,simple,0.75,0.692
star,simulated,0.75,0.6719999999999999
star,simple,0.8,0.7319999999999999
star,simulated,0.8,0.702
star,simple,0.9,0.844
star,simulated,0.9,0.8119999999999999
star,simple,1.0,0.934
star,simulated,1.0,0.9139999999999999
tree,simple,0.5,0.464
tree,simulated,0.5,0.4656
tree,simple,0.6,0.5684
tree,simulated,0.6,0.5648
tree,simple,0.6666666666666666,0.628
tree,simulated,0.6666666666666666,0.6376
tree,simple,0.7,0.6672
tree,simulated,0.7,0.6628
tree,simple,0.75,0.7052
tree,simulated,0.75,0.7
tree,simple,0.8,0.6212
tree,simulated,0.8,0.6324
tree,simple,0.9,0.4224
tree,simulated,0.9,0.4244
tree,simple,1.0,0.2336
tree,simulated,1.0,0.2448
complete,simple,0.5,0.4707
complete,simulated,0.5,0.459
complete,simple,0.6,0.5760000000000001
complete,simulated,0.6,0.5643000000000001
complete,simple,0.6666666666666666,0.6219
complete,simulated,0.6666666666666666,0.6282000000000001
complete,simple,0.7,0.531
complete,simulated,0.7,0.6606000000000001
complete,simple,0.75,0.15930000000000002
complete,simulated,0.75,0.6930000000000001
complete,simple,0.8,0.09000000000000001
complete,simulated,0.8,0.7479
complete,simple,0.9,0.027000000000000003
complete,simulated,0.9,0.36450000000000005
complete,simple,1.0,0.029700000000000008
complete,simulated,1.0,0.162
bipartite,simple,0.5,0.46699999999999997
bipartite,simulated,0.5,0.44699999999999995
bipartite,simple,0.6,0.572
bipartite,simulated,0.6,0.531
bipartite,simple,0.6666666666666666,0.263
bipartite,simulated,0.6666666666666666,0.592
bipartite,simple,0.7,0.216
bipartite,simulated,0.7,0.6289999999999999
bipartite,simple,0.75,0.12399999999999997
bipartite,simulated,0.75,0.698
bipartite,simple,0.8,0.13999999999999999
bipartite,simulated,0.8,0.7449999999999999
bipartite,simple,0.9,0.06499999999999999
bipartite,simulated,0.9,0.45199999999999996
bipartite,simple,1.0,0.04700000000000001
bipartite,simulated,1.0,0.236
