graph,rounding_scheme,c,worst_case_guarantee
star,simple,0.5,0.0
star,simulated,0.5,0.0
star,simple,0.6,0.0
star,simulated,0.6,0.0
star,simple,0.6666666666666666,0.0
star,simulated,0.6666666666666666,0.0
star,simple,0.7,0.0
star,simulated,0.7,0.0
star,simple,0.75,0.0
star,simulated,0.75,0.0
star,simple,0.8,0.0
star,simulated,0.8,0.0
star,simple,0.9,0.0
star,simulated,0.9,0.0
star,simple,1.0,0.0
star,simulated,1.0,0.0
tree,simple,0.5,0.40092495886795243
tree,simulated,0.5,0.4314842535595129
tree,simple,0.6,0.5002391443350093
tree,simulated,0.6,0.5120724722174839
tree,simple,0.6666666666666666,0.5524380115699667
tree,simulated,0.6666666666666666,0.6052096459151406
tree,simple,0.7,0.5804340352795547
tree,simulated,0.7,0.6335788480674128
tree,simple,0.75,0.6192504315188176
tree,simulated,0.75,0.682752131798018
tree,simple,0.8,0.7059332861508097
tree,simulated,0.8,0.7262515750981686
tree,simple,0.9,0.6245399750131075
tree,simulated,0.9,0.626995571245138
tree,simple,1.0,0.31186072146788196
tree,simulated,1.0,0.29794567615304207
complete,simple,0.5,0.2372395670988236
complete,simulated,0.5,0.35709749121896806
complete,simple,0.6,0.2488518323751403
complete,simulated,0.6,0.44637186402371004
complete,simple,0.6666666666666666,0.2488518323751403
complete,simulated,0.6666666666666666,0.0
complete,simple,0.7,0.2488518323751403
complete,simulated,0.7,0.2488518323751403
complete,simple,0.75,0.0
complete,simulated,0.75,0.2488518323751403
complete,simple,0.8,0.0
complete,simulated,0.8,0.0
complete,simple,0.9,0.0
complete,simulated,0.9,0.4977036647502806
complete,simple,1.0,0.0
complete,simulated,1.0,0.3809924870528434
bipartite,simple,0.5,0.0
bipartite,simulated,0.5,0.0
bipartite,simple,0.6,0.27995723874543177
bipartite,simulated,0.6,0.0
bipartite,simple,0.6666666666666666,0.3113711338398501
bipartite,simulated,0.6666666666666666,0.0
bipartite,simple,0.7,0.18115998304998007
bipartite,simulated,0.7,0.0
bipartite,simple,0.75,0.08404291542077358
bipartite,simulated,0.75,0.0
bipartite,simple,0.8,0.005218283130875203
bipartite,simulated,0.8,0.0
bipartite,simple,0.9,0.0
bipartite,simulated,0.9,0.0
bipartite,simple,1.0,0.0019100662595630358
bipartite,simulated,1.0,0.0
