graph,r,c,rounding_scheme,worst_case_guarantee
star,0,0.5,simple,0.4460879410756824
star,0,0.5,simulated,0.4510601264395661
tree,0,0.5,simple,0.13259464829459963
tree,0,0.5,simulated,0.11501045558740053
complete,0,0.5,simple,0.3012041769294242
complete,0,0.5,simulated,0.36138696944005194
bipartite,0,0.5,simple,0.027800882960935254
bipartite,0,0.5,simulated,0.09997083473210179
star,0,0.6,simple,0.5476393363694425
star,0,0.6,simulated,0.5373085684361292
tree,0,0.6,simple,0.09914010225506104
tree,0,0.6,simulated,0.09209331424877322
complete,0,0.6,simple,0.3218423259234082
complete,0,0.6,simulated,0.3436702421509015
bipartite,0,0.6,simple,0.029329895786452977
bipartite,0,0.6,simulated,0.09074856597140958
star,0,0.6666666666666666,simple,0.5765408838274237
star,0,0.6666666666666666,simulated,0.6080166234061621
tree,0,0.6666666666666666,simple,0.0387239012544644
tree,0,0.6666666666666666,simulated,0.07184885684646772
complete,0,0.6666666666666666,simple,0.5132353683275099
complete,0,0.6666666666666666,simulated,0.3287708531457825
bipartite,0,0.6666666666666666,simple,0.010253573533623765
bipartite,0,0.6666666666666666,simulated,0.0835173748405956
star,0,0.7,simple,0.6051266093206622
star,0,0.7,simulated,0.6516028301374841
tree,0,0.7,simple,0.027154799204170264
tree,0,0.7,simulated,0.035601313659443065
complete,0,0.7,simple,0.3425422195452033
complete,0,0.7,simulated,0.3459935181636881
bipartite,0,0.7,simple,0.006302683043354234
bipartite,0,0.7,simulated,0.045629208030329924
star,0,0.75,simple,0.7073992118422538
star,0,0.75,simulated,0.6987432418428049
tree,0,0.75,simple,0.01814352700468777
tree,0,0.75,simulated,0.0219621072441296
complete,0,0.75,simple,0.39562153668340283
complete,0,0.75,simulated,0.39294521516639747
bipartite,0,0.75,simple,3.2464008863247257e-06
bipartite,0,0.75,simulated,0.023616842495694044
star,0,0.8,simple,0.727317986936886
star,0,0.8,simulated,0.742202215064183
tree,0,0.8,simple,0.016723499523107997
tree,0,0.8,simulated,0.014052109822974208
complete,0,0.8,simple,0.4557808857267244
complete,0,0.8,simulated,0.477949664638733
bipartite,0,0.8,simple,1.9317403378293267e-06
bipartite,0,0.8,simulated,0.010435967008643833
star,0,0.9,simple,0.8401372700045397
star,0,0.9,simulated,0.7241392259865704
tree,0,0.9,simple,0.0054244104625810995
tree,0,0.9,simulated,0.0033969743880087095
complete,0,0.9,simple,0.24192721444162185
complete,0,0.9,simulated,0.32133282159988263
bipartite,0,0.9,simple,1.738441757526555e-09
bipartite,0,0.9,simulated,0.0001617597552065227
star,0,1.0,simple,0.0
star,0,1.0,simulated,0.0
tree,0,1.0,simple,0.0
tree,0,1.0,simulated,0.0
complete,0,1.0,simple,0.04583689280220747
complete,0,1.0,simulated,0.27225792649130104
bipartite,0,1.0,simple,1.9412127647540053e-06
bipartite,0,1.0,simulated,1.9377443101622353e-06
star,0.2,0.5,simple,0.4358449521401927
star,0.2,0.5,simulated,0.43569729741247265
tree,0.2,0.5,simple,0.2240116042294906
tree,0.2,0.5,simulated,0.2628324161646524
complete,0.2,0.5,simple,0.4442584087348609
complete,0.2,0.5,simulated,0.391225521543514
bipartite,0.2,0.5,simple,0.10200987452399092
bipartite,0.2,0.5,simulated,0.24812031128079765
star,0.2,0.6,simple,0.5421391199279701
star,0.2,0.6,simulated,0.5460189079867273
tree,0.2,0.6,simple,0.18327048966774231
tree,0.2,0.6,simulated,0.1930804309048664
complete,0.2,0.6,simple,0.48795137907541636
complete,0.2,0.6,simulated,0.44854301553810766
bipartite,0.2,0.6,simple,0.10562463623442218
bipartite,0.2,0.6,simulated,0.23093879392942396
star,0.2,0.6666666666666666,simple,0.6113761935076434
star,0.2,0.6666666666666666,simulated,0.6022303405963005
tree,0.2,0.6666666666666666,simple,0.251168270234443
tree,0.2,0.6666666666666666,simulated,0.20077239698716703
complete,0.2,0.6666666666666666,simple,0.4785938610215639
complete,0.2,0.6666666666666666,simulated,0.4957486238791275
bipartite,0.2,0.6666666666666666,simple,0.057147926487632755
bipartite,0.2,0.6666666666666666,simulated,0.17422064755810124
star,0.2,0.7,simple,0.6162122783295164
star,0.2,0.7,simulated,0.6475406619217258
tree,0.2,0.7,simple,0.17378784576111453
tree,0.2,0.7,simulated,0.19435933417017662
complete,0.2,0.7,simple,0.40221100822855005
complete,0.2,0.7,simulated,0.4629746943638022
bipartite,0.2,0.7,simple,0.022516114614677073
bipartite,0.2,0.7,simulated,0.19736084093406886
star,0.2,0.75,simple,0.6693686795757551
star,0.2,0.75,simulated,0.6918650541952368
