weights,order,c,rounding_scheme,worst_case_guarantee
uniform,0,0.5,simple,0.46699999999999997
uniform,0,0.5,simulated,0.44699999999999995
nonuniform,0,0.5,simple,0.41449099861867356
nonuniform,0,0.5,simulated,0.37403190897603
uniform,0,0.6,simple,0.572
uniform,0,0.6,simulated,0.531
nonuniform,0,0.6,simple,0.31293887844180407
nonuniform,0,0.6,simulated,0.48859810029976697
uniform,0,0.6666666666666666,simple,0.263
uniform,0,0.6666666666666666,simulated,0.592
nonuniform,0,0.6666666666666666,simple,0.2837077994553183
nonuniform,0,0.6666666666666666,simulated,0.5294316918597081
uniform,0,0.7,simple,0.216
uniform,0,0.7,simulated,0.6289999999999999
nonuniform,0,0.7,simple,0.17056661514076737
nonuniform,0,0.7,simulated,0.5518276348912408
uniform,0,0.75,simple,0.12399999999999997
uniform,0,0.75,simulated,0.698
nonuniform,0,0.75,simple,0.10345629103577193
nonuniform,0,0.75,simulated,0.5953403484749921
uniform,0,0.8,simple,0.13999999999999999
uniform,0,0.8,simulated,0.7449999999999999
nonuniform,0,0.8,simple,0.002047586165184043
nonuniform,0,0.8,simulated,0.619701956753714
uniform,0,0.9,simple,0.06499999999999999
uniform,0,0.9,simulated,0.45199999999999996
nonuniform,0,0.9,simple,0.0
nonuniform,0,0.9,simulated,0.4888393735646726
uniform,0,1.0,simple,0.04700000000000001
uniform,0,1.0,simulated,0.236
nonuniform,0,1.0,simple,6.1758726948047515e-06
nonuniform,0,1.0,simulated,0.23820809947103186
uniform,1,0.5,simple,0.46799999999999997
uniform,1,0.5,simulated,0.454
nonuniform,1,0.5,simple,0.35360320258190703
nonuniform,1,0.5,simulated,0.35635430851058597
uniform,1,0.6,simple,0.551
uniform,1,0.6,simulated,0.546
nonuniform,1,0.6,simple,0.3063990049721909
nonuniform,1,0.6,simulated,0.4878134189896722
uniform,1,0.6666666666666666,simple,0.34299999999999997
uniform,1,0.6666666666666666,simulated,0.608
nonuniform,1,0.6666666666666666,simple,0.40413309822784177
nonuniform,1,0.6666666666666666,simulated,0.5077141914313351
uniform,1,0.7,simple,0.324
uniform,1,0.7,simulated,0.655
nonuniform,1,0.7,simple,0.43828380528341576
nonuniform,1,0.7,simulated,0.5535965639754498
uniform,1,0.75,simple,0.16799999999999995
uniform,1,0.75,simulated,0.688
nonuniform,1,0.75,simple,0.19591732867467757
nonuniform,1,0.75,simulated,0.5489614722931233
uniform,1,0.8,simple,0.06599999999999999
uniform,1,0.8,simulated,0.733
nonuniform,1,0.8,simple,0.04141575140624342
nonuniform,1,0.8,simulated,0.5819823079501812
uniform,1,0.9,simple,0.047
uniform,1,0.9,simulated,0.45499999999999996
nonuniform,1,0.9,simple,0.09036152003028318
nonuniform,1,0.9,simulated,0.4297663647541606
uniform,1,1.0,simple,0.033999999999999996
uniform,1,1.0,simulated,0.19099999999999998
nonuniform,1,1.0,simple,0.000992780681373879
nonuniform,1,1.0,simulated,0.22409042367720605
uniform,2,0.5,simple,0.46299999999999997
uniform,2,0.5,simulated,0.446
nonuniform,2,0.5,simple,0.39537253950505163
nonuniform,2,0.5,simulated,0.3838065851855537
uniform,2,0.6,simple,0.5599999999999999
uniform,2,0.6,simulated,0.5319999999999999
nonuniform,2,0.6,simple,0.45547441964737284
nonuniform,2,0.6,simulated,0.4325093880855113
uniform,2,0.6666666666666666,simple,0.364
uniform,2,0.6666666666666666,simulated,0.603
nonuniform,2,0.6666666666666666,simple,0.08400713086142296
nonuniform,2,0.6666666666666666,simulated,0.48089741027373334
uniform,2,0.7,simple,0.304
uniform,2,0.7,simulated,0.6189999999999999
nonuniform,2,0.7,simple,0.06134058435898504
nonuniform,2,0.7,simulated,0.48999101974257964
uniform,2,0.75,simple,0.177
uniform,2,0.75,simulated,0.68
nonuniform,2,0.75,simple,0.06948238242663142
nonuniform,2,0.75,simulated,0.5562341080582105
uniform,2,0.8,simple,0.10099999999999999
uniform,2,0.8,simulated,0.701
nonuniform,2,0.8,simple,0.045670075159641894
nonuniform,2,0.8,simulated,0.6114887890699807
uniform,2,0.9,simple,0.043
uniform,2,0.9,simulated,0.466
nonuniform,2,0.9,simple,0.017821008748011704
nonuniform,2,0.9,simulated,0.40019722586314177
uniform,2,1.0,simple,0.055999999999999994
uniform,2,1.0,simulated,0.223
nonuniform,2,1.0,simple,0.011817826210388925
nonuniform,2,1.0,simulated,0.1955379625360391
uniform,3,0.5,simple,0.461
uniform,3,0.5,simulated,0.44999999999999996
nonuniform,3,0.5,simple,0.35669010202193635
nonuniform,3,0.5,simulated,0.4140275125357166
uniform,3,0.6,simple,0.5279999999999999
uniform,3,0.6,simulated,0.5549999999999999
nonuniform,3,0.6,simple,0.28831508326473776
nonuniform,3,0.6,simulated,0.46550165235263447
uniform,3,0.6666666666666666,simple,0.19099999999999998
uniform,3,0.6666666666666666,simulated,0.622
nonuniform,3,0.6666666666666666,simple,0.17239411282572223
nonuniform,3,0.6666666666666666,simulated,0.5065276135444995
uniform,3,0.7,simple,0.241
uniform,3,0.7,simulated,0.637
nonuniform,3,0.7,simple,0.09619854777739696
