weights,num_vertices,rounding_scheme,c,worst_case_guarantee
uniform,10,simulated,0.5,0.44699999999999995
uniform,10,simulated,0.6,0.531
uniform,10,simulated,0.6666666666666666,0.592
uniform,10,simulated,0.7,0.6289999999999999
uniform,10,simulated,0.75,0.698
uniform,10,simulated,0.8,0.7449999999999999
uniform,10,simulated,0.9,0.45199999999999996
uniform,10,simulated,1.0,0.236
uniform,20,simulated,0.5,0.40599999999999997
uniform,20,simulated,0.6,0.506
uniform,20,simulated,0.6666666666666666,0.58
uniform,20,simulated,0.7,0.594
uniform,20,simulated,0.75,0.646
uniform,20,simulated,0.8,0.688
uniform,20,simulated,0.9,0.472
uniform,20,simulated,1.0,0.19999999999999998
uniform,30,simulated,0.5,0.35700000000000004
uniform,30,simulated,0.6,0.471
uniform,30,simulated,0.6666666666666666,0.549
uniform,30,simulated,0.7,0.576
uniform,30,simulated,0.75,0.615
uniform,30,simulated,0.8,0.627
uniform,30,simulated,0.9,0.534
uniform,30,simulated,1.0,0.18
nonuniform,10,simulated,0.5,0.37403190897603
nonuniform,10,simulated,0.6,0.48859810029976697
nonuniform,10,simulated,0.6666666666666666,0.5294316918597081
nonuniform,10,simulated,0.7,0.5518276348912408
nonuniform,10,simulated,0.75,0.5953403484749921
nonuniform,10,simulated,0.8,0.619701956753714
nonuniform,10,simulated,0.9,0.4888393735646726
nonuniform,10,simulated,1.0,0.23820809947103186
nonuniform,20,simulated,0.5,0.20169205944120883
nonuniform,20,simulated,0.6,0.2024044988953412
nonuniform,20,simulated,0.6666666666666666,0.19484318553001953
nonuniform,20,simulated,0.7,0.21924245968728426
nonuniform,20,simulated,0.75,0.21853985465815592
nonuniform,20,simulated,0.8,0.09253636237922992
nonuniform,20,simulated,0.9,0.06577835709117197
nonuniform,20,simulated,1.0,0.004918100806126827
nonuniform,30,simulated,0.5,0.02661465254546309
nonuniform,30,simulated,0.6,0.0036852696848780862
nonuniform,30,simulated,0.6666666666666666,0.0008387460651727733
nonuniform,30,simulated,0.7,0.0009175031312354479
nonuniform,30,simulated,0.75,0.0006003255445191955
nonuniform,30,simulated,0.8,1.8546936477484592e-06
nonuniform,30,simulated,0.9,9.92966945879236e-08
nonuniform,30,simulated,1.0,0.0
